item_id,order_id,product_id,product_name,category,qty,unit_price,discount,net_price
ITM-100139,ORD-100054,PRD-111,Coca Cola 2L,Beverages,4,99.0,10,356.4
ITM-100140,ORD-100054,PRD-116,Organic Bananas 1kg,Produce,2,60.0,0,120.0
ITM-100141,ORD-100055,PRD-105,Amul Cheese Slices 200g,Dairy,5,120.0,15,510.0
ITM-100142,ORD-100055,PRD-111,Coca Cola 2L,Beverages,4,99.0,15,336.6
ITM-100143,ORD-100055,PRD-124,Haldiram Bhujia 150g,Snacks,5,55.0,0,275.0
ITM-100144,ORD-100055,PRD-110,Garlic Bread,Bakery,3,80.0,20,192.0
ITM-100145,ORD-100056,PRD-107,White Bread,Bakery,3,35.0,20,84.0
ITM-100146,ORD-100057,PRD-103,Paneer 200g,Dairy,3,85.0,5,242.25
ITM-100148,ORD-100057,PRD-113,Nescafé Classic 100g,Beverages,2,299.0,20,478.4
ITM-100149,ORD-100058,PRD-106,Whole Wheat Bread,Bakery,1,45.0,20,36.0
ITM-100151,ORD-100058,PRD-123,Kurkure Masala Munch,Snacks,3,20.0,0,60.0
ITM-100152,ORD-100058,PRD-114,Red Label Tea 250g,Beverages,4,140.0,0,560.0
ITM-100153,ORD-100059,PRD-112,Tropicana Orange 1L,Beverages,3,99.0,15,252.45
ITM-100154,ORD-100059,PRD-107,White Bread,Bakery,3,35.0,20,84.0
ITM-100155,ORD-100060,PRD-104,Greek Yogurt 150g,Dairy,1,50.0,10,45.0
ITM-100156,ORD-100060,PRD-125,Cadbury Dairy Milk 100g,Snacks,1,100.0,5,95.0
ITM-100157,ORD-100061,PRD-117,Washington Apples 1kg,Produce,4,220.0,0,880.0
ITM-100158,ORD-100061,PRD-117,Washington Apples 1kg,Produce,2,220.0,5,418.0
ITM-100159,ORD-100061,PRD-111,Coca Cola 2L,Beverages,5,99.0,15,420.75
ITM-100160,ORD-100061,PRD-110,Garlic Bread,Bakery,2,80.0,10,144.0
ITM-100162,ORD-100063,PRD-124,Haldiram Bhujia 150g,Snacks,4,55.0,0,220.0
ITM-100163,ORD-100063,PRD-113,Nescafé Classic 100g,Beverages,1,299.0,20,239.2
ITM-100164,ORD-100064,PRD-110,Garlic Bread,Bakery,5,80.0,0,400.0
ITM-100165,ORD-100065,PRD-111,Coca Cola 2L,Beverages,1,99.0,15,84.15
ITM-100166,ORD-100066,PRD-117,Washington Apples 1kg,Produce,1,220.0,10,198.0
ITM-100167,ORD-100067,PRD-121,Lays Potato Chips,Snacks,3,20.0,5,57.0
ITM-100168,ORD-100067,PRD-107,White Bread,Bakery,3,35.0,5,99.75
ITM-100169,ORD-100067,PRD-109,Chocolate Muffin,Bakery,3,40.0,20,96.0
ITM-100170,ORD-100068,PRD-122,Oreo Biscuits,Snacks,3,30.0,0,90.0
ITM-100171,ORD-100068,PRD-105,Amul Cheese Slices 200g,Dairy,3,120.0,5,342.0
ITM-100172,ORD-100068,PRD-104,Greek Yogurt 150g,Dairy,5,50.0,0,250.0
ITM-100173,ORD-100068,PRD-118,Onions 5kg,Produce,1,180.0,20,144.0
ITM-100174,ORD-100069,PRD-118,Onions 5kg,Produce,5,180.0,10,810.0
ITM-100175,ORD-100069,PRD-111,Coca Cola 2L,Beverages,2,99.0,10,178.2
ITM-100176,ORD-100070,PRD-119,Potatoes 5kg,Produce,2,150.0,5,285.0
ITM-100177,ORD-100070,PRD-103,Paneer 200g,Dairy,5,85.0,10,382.5
ITM-100178,ORD-100070,PRD-111,Coca Cola 2L,Beverages,4,99.0,20,316.8
ITM-100179,ORD-100071,PRD-105,Amul Cheese Slices 200g,Dairy,4,120.0,0,480.0
ITM-100180,ORD-100072,PRD-104,Greek Yogurt 150g,Dairy,1,50.0,15,42.5
ITM-100181,ORD-100073,PRD-114,Red Label Tea 250g,Beverages,2,140.0,15,238.0
ITM-100182,ORD-100074,PRD-120,Tomatoes 1kg,Produce,3,40.0,10,108.0
ITM-100183,ORD-100074,PRD-111,Coca Cola 2L,Beverages,5,99.0,5,470.25
ITM-100184,ORD-100074,PRD-103,Paneer 200g,Dairy,5,85.0,15,361.25
ITM-100185,ORD-100074,PRD-105,Amul Cheese Slices 200g,Dairy,4,120.0,0,480.0
ITM-100186,ORD-100075,PRD-115,Pepsi 750ml,Beverages,4,45.0,10,162.0
ITM-100187,ORD-100076,PRD-108,Croissant,Bakery,2,60.0,5,114.0
ITM-100188,ORD-100076,PRD-120,Tomatoes 1kg,Produce,3,40.0,10,108.0
ITM-100189,ORD-100076,PRD-113,Nescafé Classic 100g,Beverages,3,299.0,5,852.15
ITM-100191,ORD-100077,PRD-101,Amul Butter 500g,Dairy,4,55.0,0,220.0
ITM-100192,ORD-100077,PRD-104,Greek Yogurt 150g,Dairy,4,50.0,10,180.0
ITM-100193,ORD-100077,PRD-115,Pepsi 750ml,Beverages,3,45.0,5,128.25
ITM-100194,ORD-100077,PRD-125,Cadbury Dairy Milk 100g,Snacks,5,100.0,10,450.0
ITM-100195,ORD-100078,PRD-117,Washington Apples 1kg,Produce,4,220.0,0,880.0
ITM-100198,ORD-100080,PRD-113,Nescafé Classic 100g,Beverages,4,299.0,20,956.8
ITM-100199,ORD-100080,PRD-108,Croissant,Bakery,2,60.0,20,96.0
ITM-100200,ORD-100080,PRD-118,Onions 5kg,Produce,4,180.0,5,684.0
ITM-100201,ORD-100080,PRD-113,Nescafé Classic 100g,Beverages,3,299.0,0,897.0
ITM-100204,ORD-100082,PRD-118,Onions 5kg,Produce,2,180.0,5,342.0
ITM-100205,ORD-100082,PRD-122,Oreo Biscuits,Snacks,5,30.0,0,150.0
ITM-100207,ORD-100083,PRD-111,Coca Cola 2L,Beverages,1,99.0,20,79.2
ITM-100209,ORD-100083,PRD-110,Garlic Bread,Bakery,1,80.0,15,68.0
ITM-100210,ORD-100083,PRD-120,Tomatoes 1kg,Produce,5,40.0,0,200.0
ITM-100211,ORD-100084,PRD-111,Coca Cola 2L,Beverages,1,99.0,15,84.15
ITM-100212,ORD-100084,PRD-103,Paneer 200g,Dairy,2,85.0,5,161.5
ITM-100213,ORD-100084,PRD-119,Potatoes 5kg,Produce,2,150.0,0,300.0
ITM-100214,ORD-100084,PRD-122,Oreo Biscuits,Snacks,4,30.0,5,114.0
ITM-100215,ORD-100085,PRD-113,Nescafé Classic 100g,Beverages,5,299.0,20,1196.0
ITM-100216,ORD-100085,PRD-115,Pepsi 750ml,Beverages,2,45.0,5,85.5
ITM-100217,ORD-100085,PRD-122,Oreo Biscuits,Snacks,3,30.0,10,81.0
ITM-100218,ORD-100086,PRD-114,Red Label Tea 250g,Beverages,1,140.0,10,126.0
ITM-100219,ORD-100086,PRD-119,Potatoes 5kg,Produce,5,150.0,0,750.0
ITM-100220,ORD-100086,PRD-117,Washington Apples 1kg,Produce,2,220.0,15,374.0
ITM-100221,ORD-100087,PRD-102,Mother Dairy Milk 1L,Dairy,5,66.0,10,297.0
ITM-100222,ORD-100087,PRD-102,Mother Dairy Milk 1L,Dairy,5,66.0,0,330.0
ITM-100224,ORD-100088,PRD-101,Amul Butter 500g,Dairy,4,55.0,5,209.0
ITM-100225,ORD-100088,PRD-123,Kurkure Masala Munch,Snacks,4,20.0,20,64.0
ITM-100226,ORD-100088,PRD-121,Lays Potato Chips,Snacks,4,20.0,10,72.0
ITM-100227,ORD-100089,PRD-113,Nescafé Classic 100g,Beverages,5,299.0,15,1270.75
ITM-100228,ORD-100089,PRD-107,White Bread,Bakery,4,35.0,5,133.0
ITM-100229,ORD-100089,PRD-105,Amul Cheese Slices 200g,Dairy,5,120.0,5,570.0
ITM-100230,ORD-100089,PRD-113,Nescafé Classic 100g,Beverages,4,299.0,10,1076.4
ITM-100231,ORD-100090,PRD-110,Garlic Bread,Bakery,2,80.0,5,152.0
ITM-100232,ORD-100090,PRD-101,Amul Butter 500g,Dairy,1,55.0,0,55.0
ITM-100233,ORD-100091,PRD-124,Haldiram Bhujia 150g,Snacks,4,55.0,15,187.0
ITM-100234,ORD-100091,PRD-105,Amul Cheese Slices 200g,Dairy,2,120.0,0,240.0
ITM-100235,ORD-100092,PRD-115,Pepsi 750ml,Beverages,4,45.0,20,144.0
ITM-100236,ORD-100092,PRD-120,Tomatoes 1kg,Produce,4,40.0,5,152.0
ITM-100237,ORD-100092,PRD-117,Washington Apples 1kg,Produce,5,220.0,15,935.0
ITM-100239,ORD-100093,PRD-108,Croissant,Bakery,4,60.0,5,228.0
ITM-100240,ORD-100093,PRD-120,Tomatoes 1kg,Produce,5,40.0,0,200.0
ITM-100241,ORD-100093,PRD-116,Organic Bananas 1kg,Produce,5,60.0,5,285.0
ITM-100242,ORD-100094,PRD-114,Red Label Tea 250g,Beverages,5,140.0,20,560.0
ITM-100243,ORD-100094,PRD-112,Tropicana Orange 1L,Beverages,1,99.0,0,99.0
ITM-100244,ORD-100094,PRD-119,Potatoes 5kg,Produce,3,150.0,15,382.5
ITM-100245,ORD-100095,PRD-119,Potatoes 5kg,Produce,1,150.0,15,127.5
ITM-100246,ORD-100096,PRD-124,Haldiram Bhujia 150g,Snacks,3,55.0,20,132.0
ITM-100247,ORD-100096,PRD-115,Pepsi 750ml,Beverages,1,45.0,20,36.0
ITM-100248,ORD-100097,PRD-108,Croissant,Bakery,1,60.0,15,51.0
ITM-100249,ORD-100098,PRD-120,Tomatoes 1kg,Produce,3,40.0,0,120.0
ITM-100250,ORD-100098,PRD-118,Onions 5kg,Produce,4,180.0,0,720.0
ITM-100251,ORD-100098,PRD-115,Pepsi 750ml,Beverages,4,45.0,20,144.0
ITM-100252,ORD-100099,PRD-114,Red Label Tea 250g,Beverages,3,140.0,10,378.0
ITM-100253,ORD-100099,PRD-110,Garlic Bread,Bakery,1,80.0,5,76.0
ITM-100254,ORD-100099,PRD-123,Kurkure Masala Munch,Snacks,3,20.0,20,48.0
ITM-100255,ORD-100100,PRD-102,Mother Dairy Milk 1L,Dairy,5,66.0,15,280.5
ITM-100256,ORD-100100,PRD-106,Whole Wheat Bread,Bakery,1,45.0,20,36.0
ITM-100257,ORD-100100,PRD-122,Oreo Biscuits,Snacks,5,30.0,10,135.0
ITM-100258,ORD-100101,PRD-110,Garlic Bread,Bakery,1,80.0,15,68.0
ITM-100259,ORD-100102,PRD-117,Washington Apples 1kg,Produce,3,220.0,0,660.0
ITM-100260,ORD-100102,PRD-109,Chocolate Muffin,Bakery,5,40.0,5,190.0
ITM-100261,ORD-100103,PRD-109,Chocolate Muffin,Bakery,1,40.0,10,36.0
ITM-100262,ORD-100103,PRD-124,Haldiram Bhujia 150g,Snacks,5,55.0,0,275.0
ITM-100263,ORD-100103,PRD-106,Whole Wheat Bread,Bakery,2,45.0,20,72.0
ITM-100264,ORD-100104,PRD-112,Tropicana Orange 1L,Beverages,3,99.0,5,282.15
ITM-100266,ORD-100104,PRD-106,Whole Wheat Bread,Bakery,1,45.0,20,36.0
ITM-100267,ORD-100104,PRD-111,Coca Cola 2L,Beverages,2,99.0,0,198.0
ITM-100269,ORD-100105,PRD-125,Cadbury Dairy Milk 100g,Snacks,2,100.0,15,170.0
ITM-100270,ORD-100106,PRD-124,Haldiram Bhujia 150g,Snacks,2,55.0,5,104.5
ITM-100271,ORD-100106,PRD-119,Potatoes 5kg,Produce,1,150.0,10,135.0
ITM-100272,ORD-100106,PRD-121,Lays Potato Chips,Snacks,1,20.0,10,18.0
ITM-100273,ORD-100106,PRD-102,Mother Dairy Milk 1L,Dairy,4,66.0,5,250.8
ITM-100274,ORD-100107,PRD-116,Organic Bananas 1kg,Produce,4,60.0,10,216.0
ITM-100275,ORD-100107,PRD-124,Haldiram Bhujia 150g,Snacks,2,55.0,20,88.0
ITM-100276,ORD-100107,PRD-113,Nescafé Classic 100g,Beverages,4,299.0,15,1016.6
ITM-100277,ORD-100107,PRD-109,Chocolate Muffin,Bakery,5,40.0,5,190.0
ITM-100278,ORD-100108,PRD-101,Amul Butter 500g,Dairy,4,55.0,10,198.0
ITM-100279,ORD-100108,PRD-113,Nescafé Classic 100g,Beverages,5,299.0,10,1345.5
ITM-100280,ORD-100108,PRD-122,Oreo Biscuits,Snacks,1,30.0,0,30.0
ITM-100281,ORD-100108,PRD-118,Onions 5kg,Produce,4,180.0,10,648.0
ITM-100282,ORD-100109,PRD-111,Coca Cola 2L,Beverages,3,99.0,10,267.3
ITM-100284,ORD-100109,PRD-121,Lays Potato Chips,Snacks,4,20.0,20,64.0
ITM-100285,ORD-100110,PRD-125,Cadbury Dairy Milk 100g,Snacks,5,100.0,5,475.0
ITM-100286,ORD-100110,PRD-125,Cadbury Dairy Milk 100g,Snacks,5,100.0,5,475.0
ITM-100287,ORD-100110,PRD-111,Coca Cola 2L,Beverages,3,99.0,5,282.15
ITM-100288,ORD-100110,PRD-118,Onions 5kg,Produce,1,180.0,0,180.0
ITM-100289,ORD-100111,PRD-101,Amul Butter 500g,Dairy,1,55.0,15,46.75
ITM-100290,ORD-100112,PRD-122,Oreo Biscuits,Snacks,3,30.0,15,76.5
ITM-100291,ORD-100113,PRD-124,Haldiram Bhujia 150g,Snacks,3,55.0,10,148.5
ITM-100292,ORD-100113,PRD-107,White Bread,Bakery,1,35.0,0,35.0
ITM-100293,ORD-100114,PRD-102,Mother Dairy Milk 1L,Dairy,2,66.0,20,105.6
ITM-100294,ORD-100115,PRD-123,Kurkure Masala Munch,Snacks,1,20.0,0,20.0
ITM-100295,ORD-100116,PRD-113,Nescafé Classic 100g,Beverages,2,299.0,20,478.4
ITM-100296,ORD-100116,PRD-104,Greek Yogurt 150g,Dairy,3,50.0,5,142.5
ITM-100297,ORD-100117,PRD-115,Pepsi 750ml,Beverages,4,45.0,0,180.0
ITM-100298,ORD-100117,PRD-109,Chocolate Muffin,Bakery,3,40.0,15,102.0
ITM-100299,ORD-100117,PRD-109,Chocolate Muffin,Bakery,1,40.0,5,38.0
ITM-100300,ORD-100118,PRD-125,Cadbury Dairy Milk 100g,Snacks,4,100.0,0,400.0
ITM-100301,ORD-100118,PRD-113,Nescafé Classic 100g,Beverages,1,299.0,10,269.1
ITM-100302,ORD-100118,PRD-109,Chocolate Muffin,Bakery,2,40.0,10,72.0
ITM-100303,ORD-100119,PRD-103,Paneer 200g,Dairy,2,85.0,15,144.5
ITM-100304,ORD-100119,PRD-120,Tomatoes 1kg,Produce,2,40.0,15,68.0
ITM-100305,ORD-100119,PRD-121,Lays Potato Chips,Snacks,1,20.0,15,17.0
ITM-100306,ORD-100119,PRD-105,Amul Cheese Slices 200g,Dairy,4,120.0,20,384.0
ITM-100307,ORD-100120,PRD-120,Tomatoes 1kg,Produce,4,40.0,0,160.0
ITM-100308,ORD-100120,PRD-123,Kurkure Masala Munch,Snacks,1,20.0,10,18.0
ITM-100309,ORD-100121,PRD-103,Paneer 200g,Dairy,5,85.0,0,425.0
ITM-100310,ORD-100122,PRD-125,Cadbury Dairy Milk 100g,Snacks,1,100.0,15,85.0
ITM-100311,ORD-100122,PRD-116,Organic Bananas 1kg,Produce,1,60.0,5,57.0
ITM-100312,ORD-100122,PRD-102,Mother Dairy Milk 1L,Dairy,3,66.0,15,168.3
ITM-100313,ORD-100123,PRD-123,Kurkure Masala Munch,Snacks,4,20.0,10,72.0
ITM-100314,ORD-100123,PRD-119,Potatoes 5kg,Produce,5,150.0,0,750.0
ITM-100315,ORD-100124,PRD-116,Organic Bananas 1kg,Produce,4,60.0,15,204.0
ITM-100316,ORD-100124,PRD-124,Haldiram Bhujia 150g,Snacks,5,55.0,0,275.0
ITM-100317,ORD-100124,PRD-108,Croissant,Bakery,4,60.0,0,240.0
ITM-100318,ORD-100124,PRD-123,Kurkure Masala Munch,Snacks,1,20.0,15,17.0
ITM-100319,ORD-100125,PRD-111,Coca Cola 2L,Beverages,4,99.0,10,356.4
ITM-100320,ORD-100125,PRD-102,Mother Dairy Milk 1L,Dairy,3,66.0,0,198.0
ITM-100321,ORD-100125,PRD-118,Onions 5kg,Produce,1,180.0,10,162.0
ITM-100322,ORD-100126,PRD-125,Cadbury Dairy Milk 100g,Snacks,2,100.0,10,180.0
ITM-100323,ORD-100126,PRD-106,Whole Wheat Bread,Bakery,1,45.0,20,36.0
ITM-100324,ORD-100126,PRD-113,Nescafé Classic 100g,Beverages,3,299.0,5,852.15
ITM-100325,ORD-100126,PRD-123,Kurkure Masala Munch,Snacks,1,20.0,15,17.0
ITM-100326,ORD-100127,PRD-116,Organic Bananas 1kg,Produce,4,60.0,0,240.0
ITM-100327,ORD-100127,PRD-124,Haldiram Bhujia 150g,Snacks,2,55.0,5,104.5
ITM-100328,ORD-100127,PRD-102,Mother Dairy Milk 1L,Dairy,1,66.0,5,62.7
ITM-100329,ORD-100128,PRD-116,Organic Bananas 1kg,Produce,1,60.0,15,51.0
ITM-100331,ORD-100129,PRD-118,Onions 5kg,Produce,1,180.0,15,153.0
ITM-100332,ORD-100129,PRD-102,Mother Dairy Milk 1L,Dairy,1,66.0,10,59.4
ITM-100333,ORD-100129,PRD-111,Coca Cola 2L,Beverages,4,99.0,0,396.0
ITM-100334,ORD-100129,PRD-104,Greek Yogurt 150g,Dairy,5,50.0,5,237.5
ITM-100335,ORD-100130,PRD-122,Oreo Biscuits,Snacks,2,30.0,20,48.0
ITM-100336,ORD-100130,PRD-124,Haldiram Bhujia 150g,Snacks,2,55.0,20,88.0
ITM-100337,ORD-100130,PRD-103,Paneer 200g,Dairy,2,85.0,0,170.0
ITM-100338,ORD-100130,PRD-116,Organic Bananas 1kg,Produce,4,60.0,0,240.0
ITM-100339,ORD-100131,PRD-108,Croissant,Bakery,1,60.0,5,57.0
ITM-100340,ORD-100132,PRD-121,Lays Potato Chips,Snacks,3,20.0,0,60.0
ITM-100344,ORD-100134,PRD-120,Tomatoes 1kg,Produce,2,40.0,20,64.0
ITM-100345,ORD-100134,PRD-103,Paneer 200g,Dairy,4,85.0,5,323.0
ITM-100346,ORD-100134,PRD-111,Coca Cola 2L,Beverages,3,99.0,15,252.45
ITM-100347,ORD-100134,PRD-104,Greek Yogurt 150g,Dairy,5,50.0,20,200.0
ITM-100348,ORD-100135,PRD-111,Coca Cola 2L,Beverages,1,99.0,5,94.05
ITM-100349,ORD-100135,PRD-119,Potatoes 5kg,Produce,3,150.0,5,427.5
ITM-100350,ORD-100136,PRD-104,Greek Yogurt 150g,Dairy,2,50.0,10,90.0
ITM-100351,ORD-100137,PRD-106,Whole Wheat Bread,Bakery,5,45.0,10,202.5
ITM-100352,ORD-100137,PRD-106,Whole Wheat Bread,Bakery,2,45.0,15,76.5
ITM-100353,ORD-100137,PRD-119,Potatoes 5kg,Produce,2,150.0,0,300.0
ITM-100354,ORD-100137,PRD-104,Greek Yogurt 150g,Dairy,4,50.0,20,160.0
ITM-100355,ORD-100138,PRD-101,Amul Butter 500g,Dairy,1,55.0,15,46.75
ITM-100356,ORD-100138,PRD-101,Amul Butter 500g,Dairy,2,55.0,0,110.0
ITM-100357,ORD-100139,PRD-123,Kurkure Masala Munch,Snacks,3,20.0,20,48.0
ITM-100358,ORD-100140,PRD-123,Kurkure Masala Munch,Snacks,2,20.0,15,34.0
ITM-100359,ORD-100140,PRD-107,White Bread,Bakery,3,35.0,5,99.75
ITM-100360,ORD-100140,PRD-117,Washington Apples 1kg,Produce,4,220.0,15,748.0
ITM-100361,ORD-100140,PRD-108,Croissant,Bakery,5,60.0,5,285.0
ITM-100362,ORD-100141,PRD-120,Tomatoes 1kg,Produce,4,40.0,5,152.0
ITM-100363,ORD-100142,PRD-121,Lays Potato Chips,Snacks,3,20.0,10,54.0
ITM-100364,ORD-100143,PRD-101,Amul Butter 500g,Dairy,2,55.0,20,88.0
ITM-100365,ORD-100143,PRD-107,White Bread,Bakery,5,35.0,0,175.0
ITM-100366,ORD-100143,PRD-104,Greek Yogurt 150g,Dairy,3,50.0,20,120.0
ITM-100367,ORD-100143,PRD-125,Cadbury Dairy Milk 100g,Snacks,5,100.0,20,400.0
ITM-100368,ORD-100144,PRD-115,Pepsi 750ml,Beverages,3,45.0,5,128.25
ITM-100369,ORD-100144,PRD-102,Mother Dairy Milk 1L,Dairy,1,66.0,5,62.7
ITM-100370,ORD-100145,PRD-122,Oreo Biscuits,Snacks,4,30.0,15,102.0
ITM-100371,ORD-100145,PRD-106,Whole Wheat Bread,Bakery,1,45.0,5,42.75
ITM-100372,ORD-100146,PRD-121,Lays Potato Chips,Snacks,3,20.0,10,54.0
ITM-100373,ORD-100147,PRD-114,Red Label Tea 250g,Beverages,3,140.0,10,378.0
ITM-100374,ORD-100147,PRD-120,Tomatoes 1kg,Produce,1,40.0,15,34.0
ITM-100375,ORD-100148,PRD-124,Haldiram Bhujia 150g,Snacks,5,55.0,0,275.0
ITM-100376,ORD-100149,PRD-106,Whole Wheat Bread,Bakery,4,45.0,0,180.0
ITM-100377,ORD-100149,PRD-117,Washington Apples 1kg,Produce,1,220.0,0,220.0
ITM-100378,ORD-100150,PRD-124,Haldiram Bhujia 150g,Snacks,5,55.0,15,233.75
ITM-100379,ORD-100150,PRD-119,Potatoes 5kg,Produce,4,150.0,10,540.0
ITM-100380,ORD-100151,PRD-124,Haldiram Bhujia 150g,Snacks,2,55.0,10,99.0
ITM-100381,ORD-100151,PRD-125,Cadbury Dairy Milk 100g,Snacks,3,100.0,0,300.0
ITM-100382,ORD-100152,PRD-104,Greek Yogurt 150g,Dairy,4,50.0,5,190.0
ITM-100383,ORD-100152,PRD-107,White Bread,Bakery,2,35.0,15,59.5
ITM-100384,ORD-100153,PRD-116,Organic Bananas 1kg,Produce,4,60.0,20,192.0
ITM-100385,ORD-100154,PRD-114,Red Label Tea 250g,Beverages,2,140.0,5,266.0
ITM-100386,ORD-100155,PRD-106,Whole Wheat Bread,Bakery,3,45.0,15,114.75
ITM-100387,ORD-100155,PRD-105,Amul Cheese Slices 200g,Dairy,2,120.0,15,204.0
ITM-100388,ORD-100155,PRD-121,Lays Potato Chips,Snacks,3,20.0,10,54.0
ITM-100389,ORD-100155,PRD-107,White Bread,Bakery,2,35.0,10,63.0
ITM-100390,ORD-100156,PRD-123,Kurkure Masala Munch,Snacks,1,20.0,20,16.0
ITM-100394,ORD-100158,PRD-120,Tomatoes 1kg,Produce,5,40.0,5,190.0
ITM-100395,ORD-100158,PRD-106,Whole Wheat Bread,Bakery,5,45.0,20,180.0
ITM-100396,ORD-100158,PRD-108,Croissant,Bakery,4,60.0,0,240.0
ITM-100397,ORD-100159,PRD-107,White Bread,Bakery,4,35.0,20,112.0
ITM-100399,ORD-100159,PRD-101,Amul Butter 500g,Dairy,2,55.0,15,93.5
ITM-100400,ORD-100159,PRD-108,Croissant,Bakery,4,60.0,10,216.0
ITM-100401,ORD-100160,PRD-119,Potatoes 5kg,Produce,5,150.0,5,712.5
ITM-100402,ORD-100160,PRD-101,Amul Butter 500g,Dairy,1,55.0,15,46.75
ITM-100403,ORD-100161,PRD-116,Organic Bananas 1kg,Produce,1,60.0,20,48.0
ITM-100404,ORD-100162,PRD-117,Washington Apples 1kg,Produce,4,220.0,15,748.0
ITM-100406,ORD-100162,PRD-116,Organic Bananas 1kg,Produce,1,60.0,5,57.0
ITM-100407,ORD-100162,PRD-118,Onions 5kg,Produce,4,180.0,0,720.0
ITM-100408,ORD-100163,PRD-105,Amul Cheese Slices 200g,Dairy,3,120.0,10,324.0
ITM-100409,ORD-100163,PRD-108,Croissant,Bakery,1,60.0,0,60.0
