product_id,product_name,category,subcategory,cost_price
PRD-0189,Walker LLC Phone Model 6,Electronics,Phones,61803.98
PRD-0190,Ceramic Cookware,Home,Cookware,8342.45
PRD-0191,'Ameliorated optimizing neural-net' Book,Books,Children,113.54
PRD-0192,Chapman Inc Laptop Model 9,Electronics,Laptops,3364.24
PRD-0193,Metal Decor,Home,Decor,6532.33
PRD-0194,Zimmerman Inc Headphone Model 6,Electronics,Headphones,71969.03
PRD-0195,   joneS inc HEadphOnE modeL 4   ,Electronics,Headphones,54724.3
PRD-0196,Jones-Young Headphone Model 9,Electronics,Headphones,70788.71
PRD-0197,'Synchronized mobile data-warehouse' Book,Books,Children,1149.27
PRD-0198,Yellow Jean,Clothing,Jeans,4885.79
PRD-0199,DarkSeaGreen Sock,Clothing,Socks,318.97
PRD-0200,Metal Bedding,Home,Bedding,4112.06
PRD-0201,"Walls, Duncan and Kennedy Smartwatche Model 1",Electronics,Smartwatches,68758.16
PRD-0202,Sienna Jean,Clothing,Jeans,4119.62
PRD-0203,'Open-source content-based attitude' Book,Books,Sci-Fi,527.27
PRD-0204,DarkGray Jean,Clothing,Jeans,313.59
PRD-0205,   plum sOCk   ,Clothing,Socks,1775.66
PRD-0206,Henderson-Owens Headphone Model 6,Electronics,Headphones,51497.8
PRD-0207,'Upgradable actuating service-desk' Book,Books,Children,563.61
PRD-0208,"Joyce, Garcia and Powell Phone Model 5",Electronics,Phones,14696.14
PRD-0209,Wooden Furniture,Home,Furniture,9009.08
PRD-0210,Ceramic Lighting,Home,Lighting,9152.2
PRD-0211,   mcbrIdE-rodRigUEz sMArtwATche modEl 4   ,Electronics,Smartwatches,20750.44
PRD-0212,'Ergonomic content-based monitoring' Book,Books,Fiction,827.89
PRD-0213,RosyBrown Jacket,Clothing,Jackets,2270.23
PRD-0214,Glass Decor,Home,Decor,10001.3
PRD-0215,Henderson LLC Headphone Model 9,Electronics,Headphones,25088.13
PRD-0216,'Persistent dynamic archive' Book,Books,Sci-Fi,663.36
PRD-0217,Metal Decor,Home,Decor,2998.83
PRD-0218,'Organic neutral attitude' Book,Books,Non-Fiction,961.72
PRD-0219,Wooden Bedding,Home,Bedding,4662.54
PRD-0220,BurlyWood Sock,Clothing,Socks,3971.64
PRD-0221,Ceramic Bedding,Home,Bedding,6716.07
PRD-0222,Yellow Sneaker,Clothing,Sneakers,2471.29
PRD-0223,   aqUamaRINe t-shirt   ,Clothing,T-Shirts,1562.17
PRD-0224,Metal Furniture,Home,Furniture,10141.02
PRD-0225,DarkGoldenRod Jean,Clothing,Jeans,907.3
PRD-0226,Martin Group Laptop Model 8,Electronics,Laptops,49096.28
PRD-0227,Lewis-Morales Smartwatche Model 7,Electronics,Smartwatches,70947.88
PRD-0228,Chocolate Sock,Clothing,Socks,2573.01
PRD-0229,FireBrick Jean,Clothing,Jeans,3349.08
PRD-0230,Smith-Myers Phone Model 7,Electronics,Phones,17897.87
PRD-0231,'Persevering executive interface' Book,Books,Fiction,880.37
PRD-0232,"Bernard, Cowan and Peters Smartwatche Model 3",Electronics,Smartwatches,64212.62
PRD-0233,Ceramic Bedding,Home,Bedding,12483.95
PRD-0234,'Universal mobile collaboration' Book,Books,Non-Fiction,1141.12
PRD-0235,   'ERGoNOMiC expLicIt Data-WarEhOusE' BoOk   ,Books,Biography,462.87
PRD-0236,   chArtreuSe jackeT   ,Clothing,Jackets,3875.91
PRD-0237,'Reduced user-facing moratorium' Book,Books,Non-Fiction,484.44
PRD-0238,Adkins Inc Headphone Model 4,Electronics,Headphones,22101.35
PRD-0239,Wooden Decor,Home,Decor,2204.85
PRD-0240,BurlyWood Sock,Clothing,Socks,3530.96
PRD-0241,Silver T-Shirt,Clothing,T-Shirts,2191.37
PRD-0242,Ceramic Decor,Home,Decor,6324.25
PRD-0243,SteelBlue Sock,Clothing,Socks,2069.49
PRD-0244,"Moore, Yu and Miller Camera Model 7",Electronics,Cameras,38419.89
PRD-0245,Ceramic Lighting,Home,Lighting,12823.7
PRD-0246,'Enterprise-wide asymmetric policy' Book,Books,Children,1146.52
PRD-0247,CornflowerBlue Sock,Clothing,Socks,1253.22
PRD-0248,   'SyneRgistic diSinTERmediate IniTiatIVE' bOok   ,Books,Biography,140.63
PRD-0249,   metAL beDDing   ,Home,Bedding,12631.51
PRD-0250,DarkOrchid Sneaker,Clothing,Sneakers,2763.79
PRD-0251,   're-cOntEXTUALIzed dynAMic paradigm' Book   ,Books,Children,890.15
PRD-0252,"Williams, Miller and Sandoval Phone Model 7",Electronics,Phones,11288.11
PRD-0253,'Re-contextualized multi-state functionalities' Book,Books,Non-Fiction,170.4
PRD-0254,'Fundamental demand-driven secured line' Book,Books,Sci-Fi,396.32
PRD-0255,Ceramic Lighting,Home,Lighting,4282.11
PRD-0256,'Universal foreground encoding' Book,Books,Sci-Fi,1268.88
PRD-0257,'Fundamental hybrid capacity' Book,Books,Fiction,1148.63
PRD-0258,"Brewer, Bryant and Hickman Headphone Model 4",Electronics,Headphones,52186.46
PRD-0259,Smith PLC Phone Model 4,Electronics,Phones,16349.17
PRD-0260,"Ferrell, Jones and Lewis Camera Model 3",Electronics,Cameras,19464.32
PRD-0261,'Fundamental clear-thinking hardware' Book,Books,Fiction,889.56
PRD-0262,CornflowerBlue Sock,Clothing,Socks,3557.43
PRD-0263,Wooden Cookware,Home,Cookware,11700.21
PRD-0264,   leMonChifFoN jacket   ,Clothing,Jackets,718.87
PRD-0265,Mitchell-Kim Headphone Model 7,Electronics,Headphones,32034.03
PRD-0266,YellowGreen T-Shirt,Clothing,T-Shirts,3042.07
PRD-0267,LimeGreen T-Shirt,Clothing,T-Shirts,3546.53
PRD-0268,   woodeN dEcor   ,Home,Decor,11973.97
PRD-0269,"Riggs, Roman and Rice Headphone Model 9",Electronics,Headphones,34556.05
PRD-0270,Glass Furniture,Home,Furniture,337.88
PRD-0271,'Synchronized neutral framework' Book,Books,Biography,247.75
PRD-0272,Metal Bedding,Home,Bedding,6616.98
PRD-0273,Ceramic Decor,Home,Decor,7053.38
PRD-0274,   MetaL ligHtiNg   ,Home,Lighting,12486.36
PRD-0275,"   garcia, huMPhReY and baker headphONE model 8   ",Electronics,Headphones,19887.14
PRD-0276,'Customer-focused value-added neural-net' Book,Books,Children,954.46
PRD-0277,'Distributed encompassing forecast' Book,Books,Sci-Fi,140.18
PRD-0278,Ceramic Cookware,Home,Cookware,3299.98
PRD-0279,Glass Lighting,Home,Lighting,13222.75
PRD-0280,Wooden Decor,Home,Decor,7821.91
PRD-0281,HoneyDew T-Shirt,Clothing,T-Shirts,1358.51
PRD-0282,'Universal global database' Book,Books,Biography,877.25
PRD-0283,LightGray Sock,Clothing,Socks,3300.33
PRD-0284,'Profit-focused mobile extranet' Book,Books,Biography,1210.11
PRD-0285,Davis Group Headphone Model 4,Electronics,Headphones,32649.89
PRD-0286,LightSalmon Jacket,Clothing,Jackets,3387.01
PRD-0287,Glass Bedding,Home,Bedding,6468.73
PRD-0288,Ceramic Lighting,Home,Lighting,4173.11
PRD-0289,Wooden Cookware,Home,Cookware,10861.07
PRD-0290,Metal Furniture,Home,Furniture,2994.38
PRD-0291,'Balanced 24hour groupware' Book,Books,Sci-Fi,1114.42
PRD-0292,Metal Furniture,Home,Furniture,4549.26
PRD-0293,Glass Cookware,Home,Cookware,360.1
PRD-0294,DarkSeaGreen Jacket,Clothing,Jackets,418.48
PRD-0295,"Whitney, Martin and Ramos Camera Model 5",Electronics,Cameras,55944.68
PRD-0296,Pink Sock,Clothing,Socks,692.42
PRD-0297,"Smith, Jones and Ware Camera Model 5",Electronics,Cameras,37817.06
PRD-0298,'Distributed needs-based alliance' Book,Books,Sci-Fi,358.11
PRD-0299,Aguilar-Hernandez Headphone Model 8,Electronics,Headphones,9569.93
PRD-0300,Williams LLC Smartwatche Model 8,Electronics,Smartwatches,6389.53
PRD-0301,Nolan and Sons Laptop Model 3,Electronics,Laptops,64985.8
PRD-0302,Metal Furniture,Home,Furniture,1909.01
PRD-0303,'Synergized dynamic secured line' Book,Books,Children,934.58
PRD-0304,DarkKhaki Sneaker,Clothing,Sneakers,2025.81
PRD-0305,'Multi-channeled zero-defect open architecture' Book,Books,Sci-Fi,1304.23
PRD-0306,'Open-source regional synergy' Book,Books,Sci-Fi,896.08
PRD-0307,Frost and Sons Camera Model 2,Electronics,Cameras,75833.42
PRD-0308,DodgerBlue Jean,Clothing,Jeans,1470.3
PRD-0309,Keith Inc Laptop Model 4,Electronics,Laptops,14318.18
PRD-0310,Doyle LLC Laptop Model 1,Electronics,Laptops,32977.15
PRD-0311,'Open-source static support' Book,Books,Sci-Fi,145.7
PRD-0312,Ceramic Lighting,Home,Lighting,1207.02
PRD-0313,LightBlue Jacket,Clothing,Jackets,3981.57
PRD-0314,LightGreen Sock,Clothing,Socks,750.93
PRD-0315,DimGray Jean,Clothing,Jeans,4560.37
PRD-0316,DarkMagenta T-Shirt,Clothing,T-Shirts,486.26
PRD-0317,Glass Decor,Home,Decor,6671.43
PRD-0318,'Multi-tiered 5thgeneration leverage' Book,Books,Sci-Fi,1079.63
PRD-0319,Ceramic Decor,Home,Decor,6650.72
PRD-0320,Gonzalez Group Smartwatche Model 6,Electronics,Smartwatches,48495.23
PRD-0321,Torres-Pope Phone Model 4,Electronics,Phones,76971.93
PRD-0322,Walker Ltd Headphone Model 1,Electronics,Headphones,61167.17
PRD-0323,GoldenRod Sock,Clothing,Socks,2691.03
PRD-0324,'Open-architected full-range focus group' Book,Books,Sci-Fi,354.08
PRD-0325,   'Cloned Zero adMiniStRAtIoN Focus group' BoOk   ,Books,Biography,1456.68
PRD-0326,'Monitored secondary migration' Book,Books,Sci-Fi,671.69
PRD-0327,Metal Furniture,Home,Furniture,5047.58
PRD-0328,'Open-architected systematic monitoring' Book,Books,Sci-Fi,1027.62
PRD-0329,'Managed 4thgeneration budgetary management' Book,Books,Children,151.38
PRD-0330,White-Estes Headphone Model 5,Electronics,Headphones,26200.27
PRD-0331,'Fundamental 5thgeneration benchmark' Book,Books,Children,1254.9
PRD-0332,"Hamilton, Chandler and Edwards Camera Model 8",Electronics,Cameras,33353.18
PRD-0333,   TeaL sNeaKer   ,Clothing,Sneakers,1936.54
PRD-0334,'Customizable human-resource orchestration' Book,Books,Biography,1163.99
PRD-0335,   gold jacket   ,Clothing,Jackets,2836.25
PRD-0336,   ceramic beDdIng   ,Home,Bedding,1953.18
PRD-0337,LightCyan Jean,Clothing,Jeans,1691.6
PRD-0338,Fletcher Inc Camera Model 7,Electronics,Cameras,7910.13
PRD-0339,"   frOsT, ryan anD BalL smaRTWAtchE ModeL 2   ",Electronics,Smartwatches,51992.92
PRD-0340,Gray Sock,Clothing,Socks,4676.73
PRD-0341,Glass Decor,Home,Decor,6320.03
PRD-0342,'Multi-lateral intermediate architecture' Book,Books,Biography,441.22
PRD-0343,MediumPurple Sock,Clothing,Socks,1114.93
PRD-0344,Maroon T-Shirt,Clothing,T-Shirts,1525.99
PRD-0345,'Switchable bottom-line success' Book,Books,Sci-Fi,1407.95
PRD-0346,Glass Furniture,Home,Furniture,10931.86
PRD-0347,'Innovative motivating function' Book,Books,Non-Fiction,725.17
PRD-0348,   'sYnChronIzED incReMenTaL gRaPhic InTeRfAce' boOk   ,Books,Sci-Fi,565.42
PRD-0349,'Open-architected tangible frame' Book,Books,Biography,1405.99
PRD-0350,   dARksaLmon jeAN   ,Clothing,Jeans,2944.63
PRD-0351,   goLdenrod sOCk   ,Clothing,Socks,409.51
PRD-0352,'Operative static implementation' Book,Books,Biography,640.51
PRD-0353,ForestGreen Sock,Clothing,Socks,4831.16
PRD-0354,   liMEGReen SneakEr   ,Clothing,Sneakers,4833.7
PRD-0355,Ceramic Furniture,Home,Furniture,1630.72
PRD-0356,'Open-architected neutral ability' Book,Books,Fiction,1111.42
PRD-0357,'Innovative executive database' Book,Books,Non-Fiction,204.76
PRD-0358,Ceramic Lighting,Home,Lighting,9800.07
PRD-0359,Ceramic Decor,Home,Decor,14318.97
PRD-0360,'Optional zero tolerance paradigm' Book,Books,Children,150.26
PRD-0361,"Pena, Marshall and Ramos Laptop Model 5",Electronics,Laptops,79795.36
PRD-0362,Dixon Ltd Smartwatche Model 2,Electronics,Smartwatches,60949.39
PRD-0363,   hOPkinS LlC smArTwatCHe moDeL 3   ,Electronics,Smartwatches,55673.09
PRD-0364,"   beck, haRveY and daViS phOne moDel 6   ",Electronics,Phones,63793.41
PRD-0365,Glass Lighting,Home,Lighting,6545.7
PRD-0366,LavenderBlush Sneaker,Clothing,Sneakers,2177.85
PRD-0367,   Magenta jeaN   ,Clothing,Jeans,1040.33
PRD-0368,'Face-to-face dedicated circuit' Book,Books,Children,1056.39
PRD-0369,'Assimilated 6thgeneration encryption' Book,Books,Children,300.36
PRD-0370,'Phased reciprocal throughput' Book,Books,Sci-Fi,743.4
PRD-0371,Gibson Ltd Smartwatche Model 5,Electronics,Smartwatches,54370.07
PRD-0372,GoldenRod T-Shirt,Clothing,T-Shirts,2320.3
PRD-0373,Glass Decor,Home,Decor,9638.24
PRD-0374,'Universal tangible info-mediaries' Book,Books,Sci-Fi,739.57
PRD-0375,Ceramic Cookware,Home,Cookware,12822.03
PRD-0376,Ross-Hernandez Laptop Model 7,Electronics,Laptops,45967.85
PRD-0377,Wooden Lighting,Home,Lighting,14672.48
PRD-0378,'Team-oriented 24hour system engine' Book,Books,Sci-Fi,111.34
PRD-0379,Osborne and Sons Camera Model 8,Electronics,Cameras,66710.69
PRD-0380,Glass Cookware,Home,Cookware,3402.22
PRD-0381,Fuchsia Sneaker,Clothing,Sneakers,1403.01
PRD-0382,Tomato T-Shirt,Clothing,T-Shirts,4536.34
PRD-0383,Williams-Wright Headphone Model 8,Electronics,Headphones,3152.48
PRD-0384,Wooden Cookware,Home,Cookware,13657.97
PRD-0385,Metal Bedding,Home,Bedding,3131.8
PRD-0386,Glass Decor,Home,Decor,12482.52
PRD-0387,Glass Bedding,Home,Bedding,11236.41
PRD-0388,Ceramic Furniture,Home,Furniture,14448.97
PRD-0389,DarkRed Jean,Clothing,Jeans,4328.67
PRD-0390,'Persevering client-driven website' Book,Books,Children,612.09
PRD-0391,   'perSiStenT sTatic MoDErATor' boOk   ,Books,Fiction,470.24
PRD-0392,"Larson, Dodson and Vance Smartwatche Model 6",Electronics,Smartwatches,53989.86
PRD-0393,Ceramic Decor,Home,Decor,12362.9
PRD-0394,Metal Furniture,Home,Furniture,7151.43
PRD-0395,   meTaL decor   ,Home,Decor,9767.64
PRD-0396,'Seamless uniform middleware' Book,Books,Sci-Fi,1008.94
PRD-0397,Rivas-Kelley Laptop Model 1,Electronics,Laptops,75727.79
PRD-0398,Wooden Bedding,Home,Bedding,1593.3
PRD-0399,DimGray Sock,Clothing,Socks,2377.49
PRD-0400,'User-friendly methodical knowledge user' Book,Books,Children,1139.18
PRD-0401,LightGoldenRodYellow Sock,Clothing,Socks,3343.63
PRD-0402,'Versatile dynamic productivity' Book,Books,Children,671.36
PRD-0403,Glass Furniture,Home,Furniture,3376.45
PRD-0404,'Grass-roots zero administration time-frame' Book,Books,Non-Fiction,1297.63
PRD-0405,"Washington, Allen and Gonzales Headphone Model 9",Electronics,Headphones,72184.85
PRD-0406,Ceramic Furniture,Home,Furniture,4246.84
PRD-0407,"   mitcHelL, nelsoN aNd florES Smartwatche Model 2   ",Electronics,Smartwatches,53190.11
PRD-0408,"Miller, Hernandez and Reyes Phone Model 6",Electronics,Phones,19863.73
PRD-0409,DeepSkyBlue Sneaker,Clothing,Sneakers,1184.99
PRD-0410,HotPink Sneaker,Clothing,Sneakers,1236.57
PRD-0411,Coral Jacket,Clothing,Jackets,3916.97
PRD-0412,Russell-Daniels Headphone Model 3,Electronics,Headphones,79008.42
PRD-0413,Wooden Cookware,Home,Cookware,9966.71
PRD-0414,Brown-Wall Laptop Model 1,Electronics,Laptops,28980.26
PRD-0415,Orange Sneaker,Clothing,Sneakers,1754.1
PRD-0416,   BeIge jaCkeT   ,Clothing,Jackets,451.52
PRD-0417,'Virtual object-oriented implementation' Book,Books,Children,259.11
PRD-0418,Smith-Bell Smartwatche Model 8,Electronics,Smartwatches,62352.35
PRD-0419,Castaneda-Ashley Smartwatche Model 9,Electronics,Smartwatches,18113.21
PRD-0420,Medina-Navarro Camera Model 5,Electronics,Cameras,36914.38
PRD-0421,"Hurst, Freeman and Nelson Phone Model 8",Electronics,Phones,67860.23
PRD-0422,'Pre-emptive 4thgeneration info-mediaries' Book,Books,Fiction,786.38
PRD-0423,   'mandatory static seRVIce-deSk' bOok   ,Books,Fiction,1358.97
PRD-0424,   metal deCOr   ,Home,Decor,1125.38
PRD-0425,Glass Decor,Home,Decor,5806.43
PRD-0426,Ceramic Bedding,Home,Bedding,1622.8
PRD-0427,Ramsey-Pittman Camera Model 4,Electronics,Cameras,34690.56
PRD-0428,   daRksalmon SocK   ,Clothing,Socks,1826.87
PRD-0429,   'SecURed nationaL algoriTHm' BOOk   ,Books,Biography,682.39
PRD-0430,Vargas-Alvarado Headphone Model 7,Electronics,Headphones,25345.62
PRD-0431,Metal Lighting,Home,Lighting,10349.29
PRD-0432,   'conFiguRable SeConDaRy inTErface' BooK   ,Books,Fiction,227.71
PRD-0433,Camacho and Sons Phone Model 7,Electronics,Phones,8176.87
PRD-0434,Wooden Cookware,Home,Cookware,8859.01
PRD-0435,Ceramic Furniture,Home,Furniture,5400.93
PRD-0436,'Business-focused empowering implementation' Book,Books,Fiction,1455.76
PRD-0437,Wooden Lighting,Home,Lighting,8732.09
PRD-0438,MediumOrchid Jean,Clothing,Jeans,3352.33
PRD-0439,HotPink T-Shirt,Clothing,T-Shirts,1880.55
PRD-0440,Glass Furniture,Home,Furniture,8675.39
PRD-0441,'Persevering fresh-thinking Graphical User Interface' Book,Books,Children,1464.37
PRD-0442,Ramirez-Bean Camera Model 5,Electronics,Cameras,2801.78
PRD-0443,Glass Lighting,Home,Lighting,5362.7
PRD-0444,   PeAcHpuff jean   ,Clothing,Jeans,2918.34
PRD-0445,'Function-based attitude-oriented leverage' Book,Books,Fiction,298.62
PRD-0446,   curRY inC phone modEl 9   ,Electronics,Phones,17603.06
PRD-0447,'Monitored directional projection' Book,Books,Biography,577.25
PRD-0448,Glass Lighting,Home,Lighting,11686.01
PRD-0449,Harrington Ltd Phone Model 3,Electronics,Phones,13014.09
PRD-0450,Webster and Sons Phone Model 5,Electronics,Phones,35727.48
PRD-0451,   'Exclusive 3rdgenEration pRocess iMPROvEment' book   ,Books,Biography,949.91
PRD-0452,'Distributed disintermediate capacity' Book,Books,Sci-Fi,401.8
PRD-0453,Caldwell-Elliott Headphone Model 7,Electronics,Headphones,9315.74
PRD-0454,'Extended maximized standardization' Book,Books,Children,1033.99
PRD-0455,Wang-Jackson Laptop Model 7,Electronics,Laptops,78763.43
PRD-0456,"Stuart, Higgins and Strickland Phone Model 4",Electronics,Phones,24462.84
PRD-0457,   DOdgERBLue jeaN   ,Clothing,Jeans,3867.97
PRD-0458,Wooden Lighting,Home,Lighting,264.79
PRD-0459,'Integrated bi-directional paradigm' Book,Books,Non-Fiction,280.86
PRD-0460,Bisque Sneaker,Clothing,Sneakers,2881.87
PRD-0461,Ceramic Furniture,Home,Furniture,12947.2
PRD-0462,Johnston-Odonnell Smartwatche Model 1,Electronics,Smartwatches,37050.46
PRD-0463,Sanders-Espinoza Headphone Model 7,Electronics,Headphones,46085.27
PRD-0464,'Compatible optimizing solution' Book,Books,Sci-Fi,261.24
PRD-0465,"Sanchez, Terry and Turner Headphone Model 3",Electronics,Headphones,64205.11
PRD-0466,'Synergized radical workforce' Book,Books,Sci-Fi,223.38
PRD-0467,Hogan PLC Laptop Model 7,Electronics,Laptops,47315.27
PRD-0468,Reed Group Smartwatche Model 5,Electronics,Smartwatches,59791.48
PRD-0469,NavajoWhite Jacket,Clothing,Jackets,3939.77
PRD-0470,Hunter LLC Camera Model 2,Electronics,Cameras,42683.08
PRD-0471,Aquamarine Jacket,Clothing,Jackets,1885.28
PRD-0472,PeachPuff Jean,Clothing,Jeans,693.46
PRD-0473,Metal Cookware,Home,Cookware,9095.62
PRD-0474,   garciA-yu lAptoP MOdel 8   ,Electronics,Laptops,37384.27
PRD-0475,   'Sharable logistIcaL strategY' book   ,Books,Children,1000.19
PRD-0476,Metal Lighting,Home,Lighting,6680.48
PRD-0477,'Distributed intermediate conglomeration' Book,Books,Biography,983.94
PRD-0478,   woodEN decOr   ,Home,Decor,5376.34
PRD-0479,"Boyd, Santos and Gilbert Headphone Model 8",Electronics,Headphones,36427.15
PRD-0480,"Hampton, Marshall and Petersen Headphone Model 5",Electronics,Headphones,6600.11
PRD-0481,"Adams, Christian and Rivas Camera Model 9",Electronics,Cameras,31066.36
PRD-0482,Ramirez Group Smartwatche Model 4,Electronics,Smartwatches,26061.38
PRD-0483,'Fully-configurable web-enabled Local Area Network' Book,Books,Children,311.21
PRD-0484,"Bishop, Gray and Johnson Smartwatche Model 2",Electronics,Smartwatches,64971.86
PRD-0485,Metal Furniture,Home,Furniture,731.26
PRD-0486,   'inVeRse coNtextUally-bASeD mAtrIX' book   ,Books,Biography,833.7
PRD-0487,HotPink Jacket,Clothing,Jackets,1989.69
PRD-0488,Ceramic Bedding,Home,Bedding,11650.8
